"Municipio";"Populacao_residente"
"220525 JARDIM DO MULATO";4251
"220527 JATOBA DO PIAUI";4568
"220530 JERUMENHA";4600
"220535 JOAO COSTA";3031
"220540 JOAQUIM PIRES";14175
"220545 JOCA MARQUES";5535
"220550 JOSE DE FREITAS";44391
"220551 JUAZEIRO DO PIAUI";5311
"220552 JULIO BORGES";5499
"220553 JUREMA";4505
"220554 LAGOINHA DO PIAUI";3029
"220555 LAGOA ALEGRE";8449
"220556 LAGOA DO BARRO DO PIAUI";5146
"220557 LAGOA DE SAO FRANCISCO";6449
"220558 LAGOA DO PIAUI";5009
"220559 LAGOA DO SITIO";4575
"220560 LANDRI SALES";5311
"220570 LUIS CORREIA";31775
"220580 LUZILANDIA";26204
"220585 MADEIRO";8218
"220590 MANOEL EMIDIO";5314
"220595 MARCOLANDIA";8783
"220600 MARCOS PARENTE";4848
"220605 MASSAPE DO PIAUI";5215
"220610 MATIAS OLIMPIO";10875
"220620 MIGUEL ALVES";33071
"220630 MIGUEL LEAO";1352
"220635 MILTON BRANDAO";6678
"220640 MONSENHOR GIL";10455
"220650 MONSENHOR HIPOLITO";7751
"220660 MONTE ALEGRE DO PIAUI";10910
"220665 MORRO CABECA NO TEMPO";4458
"220667 MORRO DO CHAPEU DO PIAUI";6547
"220669 MURICI DOS PORTELAS";10139
"220670 NAZARE DO PIAUI";6729
"220672 NAZARIA";10706
"220675 NOSSA SENHORA DE NAZARE";5406
"220680 NOSSA SENHORA DOS REMEDIOS";8732
"220690 NOVO ORIENTE DO PIAUI";6178
"220695 NOVO SANTO ANTONIO";2886
"220700 OEIRAS";39545
"220710 OLHO D'AGUA DO PIAUI";2725
"220720 PADRE MARCOS";6481
"220730 PAES LANDIM";4174
"220735 PAJEU DO PIAUI";3041
"220740 PALMEIRA DO PIAUI";5048
"220750 PALMEIRAIS";13480
"220755 PAQUETA";3878
"220760 PARNAGUA";10289
"220770 PARNAIBA";169552
"220775 PASSAGEM FRANCA DO PIAUI";4220
"220777 PATOS DO PIAUI";5461
"220779 PAU D'ARCO DO PIAUI";3972
"220780 PAULISTANA";21601
"220785 PAVUSSU";3698
"220790 PEDRO II";39039
"220793 PEDRO LAURENTINO";2514
"220795 NOVA SANTA RITA";4147
"220800 PICOS";86228
"220810 PIMENTEIRAS";11528
"220820 PIO IX";17947
"220830 PIRACURUCA";29849
"220840 PIRIPIRI";67676
"220850 PORTO";12312
"220855 PORTO ALEGRE DO PIAUI";2391
"220860 PRATA DO PIAUI";3098
"220865 QUEIMADA NOVA";8936
"220870 REDENCAO DO GURGUEIA";8563
"220880 REGENERACAO";17418
"220885 RIACHO FRIO";4241
"220887 RIBEIRA DO PIAUI";4114
"220890 RIBEIRO GONCALVES";6215
"220900 RIO GRANDE DO PIAUI";5868
"220910 SANTA CRUZ DO PIAUI";5928
"220915 SANTA CRUZ DOS MILAGRES";3466
"220920 SANTA FILOMENA";6209
"220930 SANTA LUZ";5425
"220935 SANTANA DO PIAUI";4174
"220937 SANTA ROSA DO PIAUI";4690
"220940 SANTO ANTONIO DE LISBOA";5938
"220945 SANTO ANTONIO DOS MILAGRES";2189
"220950 SANTO INACIO DO PIAUI";3719
"220955 SAO BRAZ DO PIAUI";4451
"220960 SAO FELIX DO PIAUI";2885
"220965 SAO FRANCISCO DE ASSIS DO PIAUI";5703
"220970 SAO FRANCISCO DO PIAUI";5404
"220975 SAO GONCALO DO GURGUEIA";3019
"220980 SAO GONCALO DO PIAUI";4944
"220985 SAO JOAO DA CANABRAVA";4306
"220987 SAO JOAO DA FRONTEIRA";5615
"220990 SAO JOAO DA SERRA";6233
"220995 SAO JOAO DA VARJOTA";4443
"220997 SAO JOAO DO ARRAIAL";8443
"221000 SAO JOAO DO PIAUI";22036
"221005 SAO JOSE DO DIVINO";4906
"221010 SAO JOSE DO PEIXE";3320
"221020 SAO JOSE DO PIAUI";6732
"221030 SAO JULIAO";6135
"221035 SAO LOURENCO DO PIAUI";4497
"221037 SAO LUIS DO PIAUI";2329
"221038 SAO MIGUEL DA BAIXA GRANDE";2304
"221039 SAO MIGUEL DO FIDALGO";2870
"221040 SAO MIGUEL DO TAPUIO";17902
"221050 SAO PEDRO DO PIAUI";14046
"221060 SAO RAIMUNDO NONATO";40784
"221062 SEBASTIAO BARROS";3228
"221063 SEBASTIAO LEAL";4572
"221065 SIGEFREDO PACHECO";9631
"221070 SIMOES";14650
"221080 SIMPLICIO MENDES";14342
"221090 SOCORRO DO PIAUI";4184
"221093 SUSSUAPARA";6345
"221095 TAMBORIL DO PIAUI";3029
"221097 TANQUE DO PIAUI";2330
"221100 TERESINA";902644
"221110 UNIAO";47707
"221120 URUCUI";26501
"221130 VALENCA DO PIAUI";22920
"221135 VARZEA BRANCA";5173
"221140 VARZEA GRANDE";4515
"221150 VERA MENDES";3271
"221160 VILA NOVA DO PIAUI";2979
"221170 WALL FERRAZ";4117
"230010 ABAIARA";10282
"230015 ACARAPE";14306
"230020 ACARAU";68758
"230030 ACOPIARA";46215
"230040 AIUABA";14220
"230050 ALCANTARAS";11754
"230060 ALTANEIRA";6970
"230070 ALTO SANTO";14418
"230075 AMONTADA";44342
"230080 ANTONINA DO NORTE";7484
"230090 APUIARES";13219
"230100 AQUIRAZ";84737
"230110 ARACATI";78752
"230120 ARACOIABA";26696
"230125 ARARENDA";11485
"230130 ARARIPE";20223
"230140 ARATUBA";11459
"230150 ARNEIROZ";7619
"230160 ASSARE";22212
"230170 AURORA";24267
"230180 BAIXIO";5832
"230185 BANABUIU";17654
"230190 BARBALHA";80217
"230195 BARREIRA";23351
"230200 BARRO";19669
"230205 BARROQUINHA";14977
"230210 BATURITE";36978
"230220 BEBERIBE";55666
"230230 BELA CRUZ";34441
"230240 BOA VIAGEM";52169
"230250 BREJO SANTO";53778
"230260 CAMOCIM";65031
"230270 CAMPOS SALES";26082
"230280 CANINDE";77207
"230290 CAPISTRANO";17760
"230300 CARIDADE";16419
"230310 CARIRE";18075
"230320 CARIRIACU";27482
"230330 CARIUS";17333
"230340 CARNAUBAL";17758
"230350 CASCAVEL";76365
"230360 CATARINA";9577
"230365 CATUNDA";10817
"230370 CAUCAIA";375730
"230380 CEDRO";22678
"230390 CHAVAL";12805
"230393 CHORO";12380
"230395 CHOROZINHO";20763
"230400 COREAU";21438
"230410 CRATEUS";79809
"230420 CRATO";138232
"230423 CROATA";18007
"230425 CRUZ";31847
"230426 DEPUTADO IRAPUAN PINHEIRO";9172
"230427 ERERE";6393
"230428 EUSEBIO";80304
"230430 FARIAS BRITO";18557
"230435 FORQUILHA";25127
"230440 FORTALEZA";2574412
"230445 FORTIM";18052
"230450 FRECHEIRINHA";16362
"230460 GENERAL SAMPAIO";6924
"230465 GRACA";14174
"230470 GRANJA";55633
"230480 GRANJEIRO";4960
"230490 GROAIRAS";11313
"230495 GUAIUBA";25085
"230500 GUARACIABA DO NORTE";44294
"230510 GUARAMIRANGA";5819
"230520 HIDROLANDIA";18225
"230523 HORIZONTE";79934
"230526 IBARETAMA";12191
"230530 IBIAPINA";24649
"230533 IBICUITINGA";11979
"230535 ICAPUI";22367
"230540 ICO";64802
"230550 IGUATU";102251
"230560 INDEPENDENCIA";24530
"230565 IPAPORANGA";11937
"230570 IPAUMIRIM";12441
"230580 IPU";42968
"230590 IPUEIRAS";38285
"230600 IRACEMA";14411
"230610 IRAUCUBA";24751
"230620 ITAICABA";7779
"230625 ITAITINGA";70679
"230630 ITAPAGE";49086
"230640 ITAPIPOCA";137892
"230650 ITAPIUNA";18228
"230655 ITAREMA";45465
"230660 ITATIRA";21087
"230670 JAGUARETAMA";17625
"230680 JAGUARIBARA";10656
"230690 JAGUARIBE";35124
"230700 JAGUARUANA";33070
"230710 JARDIM";28707
"230720 JATI";8100
"230725 JIJOCA DE JERICOACOARA";27662
"230730 JUAZEIRO DO NORTE";303004
"230740 JUCAS";24591
"230750 LAVRAS DA MANGABEIRA";32123
"230760 LIMOEIRO DO NORTE";62285
"230763 MADALENA";17264
"230765 MARACANAU";249684
"230770 MARANGUAPE";108937
"230780 MARCO";27064
"230790 MARTINOPOLE";11232
"230800 MASSAPE";39633
"230810 MAURITI";47406
"230820 MERUOCA";15749
"230830 MILAGRES";26860
"230835 MILHA";14635
"230837 MIRAIMA";14736
"230840 MISSAO VELHA";38767
"230850 MOMBACA";38649
"230860 MONSENHOR TABOSA";17664
"230870 MORADA NOVA";65323
"230880 MORAUJO";8516
"230890 MORRINHOS";23608
"230900 MUCAMBO";14009
"230910 MULUNGU";10993
"230920 NOVA OLINDA";15960
"230930 NOVA RUSSAS";32014
"230940 NOVO ORIENTE";29043
"230945 OCARA";25218
"230950 OROS";20019
"230960 PACAJUS";74825
"230970 PACATUBA";85873
"230980 PACOTI";11442
"230990 PACUJA";6345
"231000 PALHANO";9671
"231010 PALMACIA";10339
"231020 PARACURU";41447
"231025 PARAIPABA";33896
"231030 PARAMBU";32816
"231040 PARAMOTI";10528
"231050 PEDRA BRANCA";42257
"231060 PENAFORTE";9308
"231070 PENTECOSTE";39715
"231080 PEREIRO";15869
"231085 PINDORETAMA";24607
"231090 PIQUET CARNEIRO";17202
"231095 PIRES FERREIRA";10952
"231100 PORANGA";12423
"231110 PORTEIRAS";17745
"231120 POTENGI";8926
"231123 POTIRETAMA";6129
"231126 QUITERIANOPOLIS";20506
"231130 QUIXADA";88483
"231135 QUIXELO";16992
"231140 QUIXERAMOBIM";85797
"231150 QUIXERE";21607
"231160 REDENCAO";28359
"231170 RERIUTABA";19059
"231180 RUSSAS";74582
"231190 SABOEIRO";14036
"231195 SALITRE";17220
"231200 SANTANA DO ACARAU";32043
"231210 SANTANA DO CARIRI";17388
"231220 SANTA QUITERIA";41647
"231230 SAO BENEDITO";49829
"231240 SAO GONCALO DO AMARANTE";57499
"231250 SAO JOAO DO JAGUARIBE";5792
"231260 SAO LUIS DO CURU";10962
"231270 SENADOR POMPEU";25143
"231280 SENADOR SA";7519
"231290 SOBRAL";215286
"231300 SOLONOPOLE";18736
"231310 TABULEIRO DO NORTE";32044
"231320 TAMBORIL";25331
"231325 TARRAFAS";7626
"231330 TAUA";64255
"231335 TEJUCUOCA";17626
"231340 TIANGUA";86137
"231350 TRAIRI";61516
"231355 TURURU";15457
"231360 UBAJARA";34312
"231370 UMARI";6993
"231375 UMIRIM";17804
"231380 URUBURETAMA";21279
"231390 URUOCA";14243
"231395 VARJOTA";18660
"231400 VARZEA ALEGRE";40771
"231410 VICOSA DO CEARA";62609
"240010 ACARI";10865
"240020 ACU";58906
"240030 AFONSO BEZERRA";11149
"240040 AGUA NOVA";3028
"240050 ALEXANDRIA";14042
"240060 ALMINO AFONSO";4806
"240070 ALTO DO RODRIGUES";12857
"240080 ANGICOS";11973
"240090 ANTONIO MARTINS";6738
"240100 APODI";37390
"240110 AREIA BRANCA";24643
"240120 ARES";13657
"240130 AUGUSTO SEVERO";10045
"240140 BAIA FORMOSA";9098
"240145 BARAUNA";28268
"240150 BARCELONA";4103
"240160 BENTO FERNANDES";4920
"240165 BODO";2363
"240170 BOM JESUS";10279
"240180 BREJINHO";12603
"240185 CAICARA DO NORTE";6474
"240190 CAICARA DO RIO DO VENTO";3359
"240200 CAICO";63339
"240210 CAMPO REDONDO";10504
"240220 CANGUARETAMA";30806
"240230 CARAUBAS";20161
"240240 CARNAUBA DOS DANTAS";8267
"240250 CARNAUBAIS";10010
"240260 CEARA-MIRIM";83009
"240270 CERRO CORA";11322
"240280 CORONEL EZEQUIEL";5241
"240290 CORONEL JOAO PESSOA";4315
"240300 CRUZETA";8238
"240310 CURRAIS NOVOS";42930
"240320 DOUTOR SEVERIANO";7253
"240325 PARNAMIRIM";269298
"240330 ENCANTO";6252
"240340 EQUADOR";5476
"240350 ESPIRITO SANTO";10936
"240360 EXTREMOZ";66993
"240370 FELIPE GUERRA";6458
"240375 FERNANDO PEDROZA";3029
"240380 FLORANIA";10528
"240390 FRANCISCO DANTAS";2763
"240400 FRUTUOSO GOMES";4231
"240410 GALINHOS";2160
"240420 GOIANINHA";28212
"240430 GOVERNADOR DIX-SEPT ROSADO";12239
"240440 GROSSOS";10251
"240450 GUAMARE";15947
"240460 IELMO MARINHO";11903
"240470 IPANGUACU";14539
"240480 IPUEIRA";2090
"240485 ITAJA";7531
"240490 ITAU";5452
"240500 JACANA";8051
"240510 JANDAIRA";6748
"240520 JANDUIS";4834
"240530 JANUARIO CICCO";8836
"240540 JAPI";5231
"240550 JARDIM DE ANGICOS";2493
"240560 JARDIM DE PIRANHAS";14416
"240570 JARDIM DO SERIDO";11952
"240580 JOAO CAMARA";34768
"240590 JOAO DIAS";2093
"240600 JOSE DA PENHA";5964
"240610 JUCURUTU";18286
"240615 JUNDIA";3859
"240620 LAGOA D'ANTA";6733
"240630 LAGOA DE PEDRAS";7577
"240640 LAGOA DE VELHOS";2633
"240650 LAGOA NOVA";16126
"240660 LAGOA SALGADA";8619
"240670 LAJES";10108
"240680 LAJES PINTADAS";4939
"240690 LUCRECIA";3579
"240700 LUIS GOMES";9286
"240710 MACAIBA";86433
"240720 MACAU";28384
"240725 MAJOR SALES";4067
"240730 MARCELINO VIEIRA";8092
"240740 MARTINS";8411
"240750 MAXARANGUAPE";10534
"240760 MESSIAS TARGINO";4404
"240770 MONTANHAS";11774
"240780 MONTE ALEGRE";23843
"240790 MONTE DAS GAMELEIRAS";2343
"240800 MOSSORO";278034
"240810 NATAL";785368
"240820 NISIA FLORESTA";33949
"240830 NOVA CRUZ";35534
"240840 OLHO-D'AGUA DO BORGES";3748
"240850 OURO BRANCO";5071
"240860 PARANA";4046
"240870 PARAU";3659
"240880 PARAZINHO";4940
"240890 PARELHAS";22179
"240895 RIO DO FOGO";10672
"240910 PASSA E FICA";11406
"240920 PASSAGEM";3222
"240930 PATU";11245
"240933 SANTA MARIA";4992
"240940 PAU DOS FERROS";31975
"240950 PEDRA GRANDE";3729
"240960 PEDRA PRETA";2499
"240970 PEDRO AVELINO";6345
"240980 PEDRO VELHO";14197
"240990 PENDENCIAS";12536
"241000 PILOES";3010
"241010 POCO BRANCO";12619
"241020 PORTALEGRE";7842
"241025 PORTO DO MANGUE";5357
"241030 SERRA CAIADA";11146
"241040 PUREZA";9707
"241050 RAFAEL FERNANDES";5647
"241060 RAFAEL GODEIRO";3008
"241070 RIACHO DA CRUZ";2741
"241080 RIACHO DE SANTANA";4243
"241090 RIACHUELO";7627
"241100 RODOLFO FERNANDES";4349
"241105 TIBAU";5674
"241110 RUY BARBOSA";3266
"241120 SANTA CRUZ";38996
"241140 SANTANA DO MATOS";12746
"241142 SANTANA DO SERIDO";2787
"241150 SANTO ANTONIO";22779
"241160 SAO BENTO DO NORTE";3426
"241170 SAO BENTO DO TRAIRI";3892
"241180 SAO FERNANDO";3600
"241190 SAO FRANCISCO DO OESTE";4304
"241200 SAO GONCALO DO AMARANTE";123207
"241210 SAO JOAO DO SABUGI";6130
"241220 SAO JOSE DE MIPIBU";49693
"241230 SAO JOSE DO CAMPESTRE";11340
"241240 SAO JOSE DO SERIDO";4716
"241250 SAO MIGUEL";24329
"241255 SAO MIGUEL DO GOSTOSO";10590
"241260 SAO PAULO DO POTENGI";17320
"241270 SAO PEDRO";5905
"241280 SAO RAFAEL";7899
"241290 SAO TOME";10188
"241300 SAO VICENTE";6514
"241310 SENADOR ELOI DE SOUZA";6007
"241320 SENADOR GEORGINO AVELINO";4193
"241330 SERRA DE SAO BENTO";5864
"241335 SERRA DO MEL";13694
"241340 SERRA NEGRA DO NORTE";7801
"241350 SERRINHA";6609
"241355 SERRINHA DOS PINTOS";4802
"241360 SEVERIANO MELO";5623
"241370 SITIO NOVO";4758
"241380 TABOLEIRO GRANDE";2406
"241390 TAIPU";11716
"241400 TANGARA";13602
"241410 TENENTE ANANIAS";10587
"241415 TENENTE LAURENTINO CRUZ";6118
"241420 TIBAU DO SUL";17840
"241430 TIMBAUBA DOS BATISTAS";2420
"241440 TOUROS";34624
"241445 TRIUNFO POTIGUAR";3474
"241450 UMARIZAL";10671
"241460 UPANEMA";14013
"241470 VARZEA";5383
"241475 VENHA-VER";3035
"241480 VERA CRUZ";11044
"241490 VICOSA";1890
"241500 VILA FLOR";3289
"250010 AGUA BRANCA";9578
"250020 AGUIAR";5061
"250030 ALAGOA GRANDE";26774
"250040 ALAGOA NOVA";21724
"250050 ALAGOINHA";14118
"250053 ALCANTIL";5777
"250057 ALGODAO DE JANDAIRA";3105
"250060 ALHANDRA";22797
"250070 SAO JOAO DO RIO DO PEIXE";18468
"250073 AMPARO";2316
"250077 APARECIDA";8225
"250080 ARACAGI";17012
"250090 ARARA";12496
"250100 ARARUNA";17442
"250110 AREIA";23082
"250115 AREIA DE BARAUNAS";2036
"250120 AREIAL";7393
"250130 AROEIRAS";19148
"250135 ASSUNCAO";4342
"250140 BAIA DA TRAICAO";9648
"250150 BANANEIRAS";23989
"250153 BARAUNA";4968
"250157 BARRA DE SANTANA";8253
"250160 BARRA DE SANTA ROSA";13094
"250170 BARRA DE SAO MIGUEL";6101
"250180 BAYEUX";84404
"250190 BELEM";16740
"250200 BELEM DO BREJO DO CRUZ";6324
"250205 BERNARDINO BATISTA";3650
"250210 BOA VENTURA";5277
"250215 BOA VISTA";6575
"250220 BOM JESUS";2333
"250230 BOM SUCESSO";4740
"250240 BONITO DE SANTA FE";10460
"250250 BOQUEIRAO";18153
"250260 IGARACY";5743
"250270 BORBOREMA";4231
"250280 BREJO DO CRUZ";14050
"250290 BREJO DOS SANTOS";5840
"250300 CAAPORA";21865
"250310 CABACEIRAS";5515
"250320 CABEDELO";70067
"250330 CACHOEIRA DOS INDIOS";9351
"250340 CACIMBA DE AREIA";3354
"250350 CACIMBA DE DENTRO";16373
"250355 CACIMBAS";7478
"250360 CAICARA";6713
"250370 CAJAZEIRAS";66171
"250375 CAJAZEIRINHAS";2776
"250380 CALDAS BRANDAO";5928
"250390 CAMALAU";6298
"250400 CAMPINA GRANDE";440939
"250403 CAPIM";7347
"250407 CARAUBAS";4059
"250410 CARRAPATEIRA";2367
"250415 CASSERENGUE";7056
"250420 CATINGUEIRA";4572
"250430 CATOLE DO ROCHA";32118
"250435 CATURITE";5492
"250440 CONCEICAO";18723
"250450 CONDADO";6624
"250460 CONDE";29543
"250470 CONGO";5102
"250480 COREMAS";15005
"250485 COXIXOLA";1882
"250490 CRUZ DO ESPIRITO SANTO";17718
"250500 CUBATI";7820
"250510 CUITE";20205
"250520 CUITEGI";6894
"250523 CUITE DE MAMANGUAPE";6431
"250527 CURRAL DE CIMA";5406
"250530 CURRAL VELHO";2327
"250535 DAMIAO";5131
"250540 DESTERRO";8300
"250550 VISTA SERRANA";3759
"250560 DIAMANTE";6431
"250570 DONA INES";10640
"250580 DUAS ESTRADAS";3377
"250590 EMAS";3053
"250600 ESPERANCA";32522
"250610 FAGUNDES";11315
"250620 FREI MARTINHO";2913
"250625 GADO BRAVO";8395
"250630 GUARABIRA";59836
"250640 GURINHEM";14133
"250650 GURJAO";3343
"250660 IBIARA";5733
"250670 IMACULADA";10550
"250680 INGA";18197
"250690 ITABAIANA";23621
"250700 ITAPORANGA";24686
"250710 ITAPOROROCA";19054
"250720 ITATUBA";10816
"250730 JACARAU";14923
"250740 JERICO";7721
"250750 JOAO PESSOA";888679
"250760 JUAREZ TAVORA";8057
"250770 JUAZEIRINHO";17488
"250780 JUNCO DO SERIDO";7002
"250790 JURIPIRANGA";10259
"250800 JURU";9410
"250810 LAGOA";4502
"250820 LAGOA DE DENTRO";8088
"250830 LAGOA SECA";29053
"250840 LASTRO";3292
"250850 LIVRAMENTO";7045
"250855 LOGRADOURO";5045
"250860 LUCENA";13019
"250870 MAE D'AGUA";3624
"250880 MALTA";6259
"250890 MAMANGUAPE";46719
"250900 MANAIRA";10700
"250905 MARCACAO";9435
"250910 MARI";22126
"250915 MARIZOPOLIS";6960
"250920 MASSARANDUBA";14666
"250930 MATARACA";8585
"250933 MATINHAS";4735
"250937 MATO GROSSO";2592
"250939 MATUREIA";6677
"250940 MOGEIRO";14375
"250950 MONTADAS";6083
"250960 MONTE HOREBE";4435
"250970 MONTEIRO";33742
"250980 MULUNGU";8945
"250990 NATUBA";9014
"251000 NAZAREZINHO";7392
"251010 NOVA FLORESTA";9884
"251020 NOVA OLINDA";5909
"251030 NOVA PALMEIRA";4362
"251040 OLHO D'AGUA";6111
"251050 OLIVEDOS";3674
"251060 OURO VELHO";2998
"251065 PARARI";1751
"251070 PASSAGEM";2562
"251080 PATOS";107774
"251090 PAULISTA";12160
"251100 PEDRA BRANCA";3846
"251110 PEDRA LAVRADA";6998
"251120 PEDRAS DE FOGO";31152
"251130 PIANCO";17006
"251140 PICUI";18835
"251150 PILAR";12801
"251160 PILOES";6979
"251170 PILOEZINHOS";5514
"251180 PIRPIRITUBA";9467
"251190 PITIMBU";17164
"251200 POCINHOS";17990
"251203 POCO DANTAS";3932
"251207 POCO DE JOSE DE MOURA";4120
"251210 POMBAL";33796
"251220 PRATA";4027
"251230 PRINCESA ISABEL";21659
"251240 PUXINANA";14837
"251250 QUEIMADAS";50214
"251260 QUIXABA";1798
"251270 REMIGIO";18373
"251272 PEDRO REGIS";5925
"251274 RIACHAO";2964
"251275 RIACHAO DO BACAMARTE";4877
"251276 RIACHAO DO POCO";4946
"251278 RIACHO DE SANTO ANTONIO";2044
"251280 RIACHO DOS CAVALOS";8762
"251290 RIO TINTO";25394
"251300 SALGADINHO";3437
"251310 SALGADO DE SAO FELIX";11760
"251315 SANTA CECILIA";8031
"251320 SANTA CRUZ";6041
"251330 SANTA HELENA";6020
"251335 SANTA INES";3274
"251340 SANTA LUZIA";15387
"251350 SANTANA DE MANGUEIRA";5106
"251360 SANTANA DOS GARROTES";6657
"251365 JOCA CLAUDINO";2606
"251370 SANTA RITA";159121
"251380 SANTA TERESINHA";4499
"251385 SANTO ANDRE";2702
"251390 SAO BENTO";33700
"251392 SAO BENTINHO";4473
"251394 SAO DOMINGOS DO CARIRI";2676
"251396 SAO DOMINGOS";2636
"251398 SAO FRANCISCO";3190
"251400 SAO JOAO DO CARIRI";4341
"251410 SAO JOAO DO TIGRE";4363
"251420 SAO JOSE DA LAGOA TAPADA";7270
"251430 SAO JOSE DE CAIANA";5032
"251440 SAO JOSE DE ESPINHARAS";4099
"251445 SAO JOSE DOS RAMOS";6105
"251450 SAO JOSE DE PIRANHAS";19552
"251455 SAO JOSE DE PRINCESA";3383
"251460 SAO JOSE DO BONFIM";3333
"251465 SAO JOSE DO BREJO DO CRUZ";1748
"251470 SAO JOSE DO SABUGI";4270
"251480 SAO JOSE DOS CORDEIROS";3474
"251490 SAO MAMEDE";7640
"251500 SAO MIGUEL DE TAIPU";7287
"251510 SAO SEBASTIAO DE LAGOA DE ROCA";11365
"251520 SAO SEBASTIAO DO UMBUZEIRO";3376
"251530 SAPE";53309
"251540 SAO VICENTE DO SERIDO";10620
"251550 SERRA BRANCA";14075
"251560 SERRA DA RAIZ";3162
"251570 SERRA GRANDE";3043
"251580 SERRA REDONDA";6984
"251590 SERRARIA";4839
"251593 SERTAOZINHO";5282
"251597 SOBRADO";8579
"251600 SOLANEA";27749
"251610 SOLEDADE";14381
"251615 SOSSEGO";3461
"251620 SOUSA";69876
"251630 SUME";17763
"251640 TACIMA";7934
"251650 TAPEROA";14376
"251660 TAVARES";14464
"251670 TEIXEIRA";15082
"251675 TENORIO";3069
"251680 TRIUNFO";10259
"251690 UIRAUNA";15386
"251700 UMBUZEIRO";9302
"251710 VARZEA";2764
"251720 VIEIROPOLIS";4974
"251740 ZABELE";2310
"260005 ABREU E LIMA";103945
"260010 AFOGADOS DA INGAZEIRA";42407
"260020 AFRANIO";19349
"260030 AGRESTINA";24615
"260040 AGUA PRETA";27221
"260050 AGUAS BELAS";43713
"260060 ALAGOINHA";14355
"260070 ALIANCA";37372
"260080 ALTINHO";21185
"260090 AMARAJI";18471
"260100 ANGELIM";10580
"260105 ARACOIABA";19936
"260110 ARARIPINA";90104
"260120 ARCOVERDE";82003
"260130 BARRA DE GUABIRABA";12616
"260140 BARREIROS";42056
"260150 BELEM DE MARIA";10829
"260160 BELEM DE SAO FRANCISCO";18713
"260170 BELO JARDIM";83647
"260180 BETANIA";11981
"260190 BEZERROS";64809
"260200 BODOCO";36129
"260210 BOM CONSELHO";46192
"260220 BOM JARDIM";39278
"260230 BONITO";39163
"260240 BREJAO";9399
"260250 BREJINHO";8010
"260260 BREJO DA MADRE DE DEUS";51107
"260270 BUENOS AIRES";13254
"260280 BUIQUE";54425
"260290 CABO DE SANTO AGOSTINHO";216969
"260300 CABROBO";31746
"260310 CACHOEIRINHA";20612
"260320 CAETES";30441
"260330 CALCADO";11445
"260340 CALUMBI";5367
"260345 CAMARAGIBE";155771
"260350 CAMOCIM DE SAO FELIX";17991
"260360 CAMUTANGA";7972
"260370 CANHOTINHO";25090
"260380 CAPOEIRAS";18890
"260390 CARNAIBA";19513
"260392 CARNAUBEIRA DA PENHA";12682
"260400 CARPINA";83205
"260410 CARUARU";402290
"260415 CASINHAS";13489
"260420 CATENDE";33279
"260430 CEDRO";10845
"260440 CHA DE ALEGRIA";13461
"260450 CHA GRANDE";21224
"260460 CONDADO";25383
"260470 CORRENTES";17660
"260480 CORTES";10512
"260490 CUMARU";16252
"260500 CUPIRA";24301
"260510 CUSTODIA";39403
"260515 DORMENTES";17749
"260520 ESCADA";62252
"260530 EXU";33436
"260540 FEIRA NOVA";22169
"260545 FERNANDO DE NORONHA";3316
"260550 FERREIROS";15794
"260560 FLORES";20835
"260570 FLORESTA";31627
"260580 FREI MIGUELINHO";14070
"260590 GAMELEIRA";17973
"260600 GARANHUNS";151064
"260610 GLORIA DO GOITA";30370
"260620 GOIANA";85160
"260630 GRANITO";7206
"260640 GRAVATA";91887
"260650 IATI";17605
"260660 IBIMIRIM";28760
"260670 IBIRAJUBA";7344
"260680 IGARASSU";122312
"260690 IGUARACY";11366
"260700 INAJA";27488
"260710 INGAZEIRA";4959
"260720 IPOJUCA";105638
"260730 IPUBI";30603
"260740 ITACURUBA";4490
"260750 ITAIBA";33691
"260760 ILHA DE ITAMARACA";25529
"260765 ITAMBE";36626
"260770 ITAPETIM";14232
"260775 ITAPISSUMA";29463
"260780 ITAQUITINGA";17109
"260790 JABOATAO DOS GUARARAPES";683285
"260795 JAQUEIRA";10483
"260800 JATAUBA";16323
"260805 JATOBA";14463
"260810 JOAO ALFREDO";28903
"260820 JOAQUIM NABUCO";13506
"260825 JUCATI";11975
"260830 JUPI";15943
"260840 JUREMA";14027
"260845 LAGOA DO CARRO";18708
"260850 LAGOA DE ITAENGA";19915
"260860 LAGOA DO OURO";12364
"260870 LAGOA DOS GATOS";14386
"260875 LAGOA GRANDE";24952
"260880 LAJEDO";41786
"260890 LIMOEIRO";59125
"260900 MACAPARANA";24624
"260910 MACHADOS";11471
"260915 MANARI";26773
"260920 MARAIAL";9432
"260930 MIRANDIBA";14599
"260940 MORENO";57647
"260950 NAZARE DA MATA";32153
"260960 OLINDA";365402
"260970 OROBO";22438
"260980 OROCO";14100
"260990 OURICURI";68329
"261000 PALMARES";56615
"261010 PALMEIRINA";7154
"261020 PANELAS";23449
"261030 PARANATAMA";12712
"261040 PARNAMIRIM";19028
"261050 PASSIRA";29719
"261060 PAUDALHO";59638
"261070 PAULISTA";362960
"261080 PEDRA";23605
"261090 PESQUEIRA";65408
"261100 PETROLANDIA";35991
"261110 PETROLINA";414083
"261120 POCAO";10805
"261130 POMBOS";26847
"261140 PRIMAVERA";14351
"261150 QUIPAPA";17974
"261153 QUIXABA";6755
"261160 RECIFE";1587707
"261170 RIACHO DAS ALMAS";21411
"261180 RIBEIRAO";34255
"261190 RIO FORMOSO";20460
"261200 SAIRE";11218
