"Municipio";"Populacao_residente"
"150270 CONCEICAO DO ARAGUAIA";47099
"150275 CONCORDIA DO PARA";28287
"150276 CUMARU DO NORTE";14937
"150277 CURIONOPOLIS";20859
"150280 CURRALINHO";36451
"150285 CURUA";14834
"150290 CURUCA";44413
"150293 DOM ELISEU";62322
"150295 ELDORADO DOS CARAJAS";29425
"150300 FARO";9125
"150304 FLORESTA DO ARAGUAIA";18565
"150307 GARRAFAO DO NORTE";25552
"150309 GOIANESIA DO PARA";27059
"150310 GURUPA";33922
"150320 IGARAPE-ACU";37855
"150330 IGARAPE-MIRI";68955
"150340 INHANGAPI";10754
"150345 IPIXUNA DO PARA";30158
"150350 IRITUIA";32698
"150360 ITAITUBA";133684
"150370 ITUPIRANGA";52187
"150375 JACAREACANGA";26006
"150380 JACUNDA";38391
"150390 JURUTI";53952
"150400 LIMOEIRO DO AJURU";31778
"150405 MAE DO RIO";37048
"150410 MAGALHAES BARATA";8428
"150420 MARABA";288513
"150430 MARACANA";27207
"150440 MARAPANIM";28105
"150442 MARITUBA";118998
"150445 MEDICILANDIA";28633
"150450 MELGACO";29846
"150460 MOCAJUBA";28821
"150470 MOJU";90795
"150475 MOJUI DOS CAMPOS";25312
"150480 MONTE ALEGRE";63641
"150490 MUANA";48955
"150495 NOVA ESPERANCA DO PIRIA";21259
"150497 NOVA IPIXUNA";14417
"150500 NOVA TIMBOTEUA";13204
"150503 NOVO PROGRESSO";36518
"150506 NOVO REPARTIMENTO";63754
"150510 OBIDOS";55271
"150520 OEIRAS DO PARA";36377
"150530 ORIXIMINA";72460
"150540 OUREM";18675
"150543 OURILANDIA DO NORTE";34905
"150548 PACAJA";43594
"150549 PALESTINA DO PARA";7086
"150550 PARAGOMINAS";112843
"150553 PARAUAPEBAS";298854
"150555 PAU D'ARCO";7296
"150560 PEIXE-BOI";8651
"150563 PICARRA";13341
"150565 PLACAS";18772
"150570 PONTA DE PEDRAS";25767
"150580 PORTEL";66898
"150590 PORTO DE MOZ";43673
"150600 PRAINHA";38318
"150610 PRIMAVERA";11332
"150611 QUATIPURU";11870
"150613 REDENCAO";91947
"150616 RIO MARIA";19129
"150618 RONDON DO PARA";56593
"150619 RUROPOLIS";37360
"150620 SALINOPOLIS";48168
"150630 SALVATERRA";25441
"150635 SANTA BARBARA DO PARA";22288
"150640 SANTA CRUZ DO ARARI";7654
"150650 SANTA IZABEL DO PARA";78317
"150655 SANTA LUZIA DO PARA";21217
"150658 SANTA MARIA DAS BARREIRAS";17079
"150660 SANTA MARIA DO PARA";25696
"150670 SANTANA DO ARAGUAIA";31683
"150680 SANTAREM";357311
"150690 SANTAREM NOVO";6348
"150700 SANTO ANTONIO DO TAUA";29134
"150710 SAO CAETANO DE ODIVELAS";17248
"150715 SAO DOMINGOS DO ARAGUAIA";21638
"150720 SAO DOMINGOS DO CAPIM";32449
"150730 SAO FELIX DO XINGU";65957
"150740 SAO FRANCISCO DO PARA";15418
"150745 SAO GERALDO DO ARAGUAIA";24978
"150746 SAO JOAO DA PONTA";4509
"150747 SAO JOAO DE PIRABAS";21447
"150750 SAO JOAO DO ARAGUAIA";14246
"150760 SAO MIGUEL DO GUAMA";55798
"150770 SAO SEBASTIAO DA BOA VISTA";27441
